chunk_idx	page	section	text_excerpt
0	1		대법원 2026. 2. 26. 선고 2025다215255 판결
1	1		1
2	1	대법원 2026. 2. 26.선고 2025다215255 판결	대법원 2026. 2. 26.선고 2025다215255 판결
3	1	대법원 2026. 2. 26.선고 2025다215255 판결	【대여금】, [공2026상,847]
4	1	【판시사항】	【판시사항】  [1] 변제 당시 남아있는 소멸시효기간이 길다고 하여 소멸시효가 나중에 완성된다고 단정하거나, 소멸시효가  나중에 완성되는 채무가 먼저 완성되는 채무보다 변제이익이 많다고 볼 수 있는지 여부(소극)  [2] 동일한 채권자에게 다수의 채무를 부담하는 채무자가 변제에 충당할 채무를 지정하지 아니한 채 모든 채 무를 변제하기에 부족한 금액을 변제한
5	1	【판결요지】	【판결요지】  [1] 채무자가 부담하는 수 개의 채무의 소멸시효기간이 모두 동일한 경우에는 소멸시효의 중단, 정지 등 특별 한 사정이 없는 한 이행기가 먼저 도래하는 채무가 소멸시효도 먼저 완성된다. 그런데 민법 제477조 는 제2 호 에서 변제이익을, 제3호 에서 이행기를 기준으로 법정변제충당의 순서를 정한다고 규정하고 있는바, 문언 상 이행기 도래의 선
6	1	【판결요지】	[3] 원고의 청구 중 일부를 기각하는 제1심판결에 대하여 피고만 항소를 하였더라도 제1심판결의 심판대상이 었던 청구 전부가 불가분적으로 항소심에 이심되나, 항소심의 심판범위는 이심된 부분 가운데 피고가 불복 신  청한 한도로 제한되고, 나머지 부분은 원고가 불복한 바가 없어 항소심의 심판대상이 되지 아니하므로, 그 부 분에 대해서는 항소심판결의 선고와 동
7	2	【판결요지】	대법원 2026. 2. 26. 선고 2025다215255 판결
8	2	【판결요지】	2
9	2	【참조판례】	【참조조문】  [1] 민법 제477조 / [2] 민법 제168조 제3호 / [3] 민사소송법 제415조  【참조판례】  [2] 대법원 2021. 9. 30. 선고 2021다239745 판결 (공2021하, 2110) / [3] 대법원 2001. 4. 27. 선고 99 다30312 판결 (공2001상, 1229), 대법원 2004. 6. 10. 선고 2004
10	2	【전문】	【전문】
11	2	【원심판결】 인천지법 2025. 7. 9. 선고 2024나74413 판결	【원고, 상고인】 원고 (소송대리인 법무법인 태일 담당변호사 김성훈 외 2인)  【피고, 피상고인】 피고  【대상판결】  【원심판결】 인천지법 2025. 7. 9. 선고 2024나74413 판결
12	2	【주문】	【주문】
13	2	【주문】	원심판결 중 주위적 청구에 관한 원고 패소 부분을 파기하고, 이 부분 사건을 인천지방법원에 환송한다.  나 머지 상고를 기각한다.
14	2	【이유】	【이유】
15	2	【이유】	상고이유를 판단한다.  1. 주위적 청구에 관한 판단  가. 상고이유 제1점에 관하여  민법 제476조 제1항 은 채무자가 동일한 채권자에 대하여 같은 종류를 목적으로 한 수 개의 채무를 부담한  경우에 변제의 제공이 그 채무 전부를 소멸하게 하지 못하는 때에는 변제자는 그 당시 어느 채무를 지정하여  그 변제에 충당할 수 있다고 정하고 있고, 민법 제47
16	3	【이유】	대법원 2026. 2. 26. 선고 2025다215255 판결
17	3	【이유】	3
18	3	【이유】	원심은 판시와 같은 이유로, 원심판결문 〈표2〉 순번 1~9번 기재 각 금원은 피고가 특정 채무를 지정하여  변제한 것이라고 보아 해당 채무의 변제에 충당된다고 판단하였다. 원심판결 이유를 관련 법리에 비추어 살펴 보면, 이러한 원심의 판단에 상고이유 주장과 같이 채증법칙 위반으로 인한 사실오인의 잘못이 없다.  나. 상고이유 제2, 3점에 관하여  1) 
19	3	【이유】	효가 나중에 완성된다고 단정할 수 없고, 소멸시효가 나중에 완성되는 채무가 먼저 완성되는 채무보다 변제이 익이 많다고 보기 어려움에도 , 변제 제공 당시 가장 최근에 성립한 채권이 소멸시효가 나중에 완성되므로 변 제이익이 많다고 보아 그 채무의 변제에 우선 충당되어야 한다고 판단한 원심판결에는 법정변제충당의 순서에  관한 법리를 오해한 잘못이 있다.  2)
20	3	【이유】	채무에 대한 승인으로서 소멸시효를 중단하는 효력을 가진다. 채무자는 자신이 계약당사자로 있는 다수의 계 약에 기초를 둔 채무들이 존재한다는 사실을 인식하고 있는 것이 통상적이므로, 변제 시에 충당할 채무를 지
21	3	【이유】	정하지 않고 변제를 하였으면 특별한 사정이 없는 한 다수의 채무 전부에 대하여 그 존재를 알고 있다는 것을  표시했다고 볼 수 있기 때문이다 ( 대법원 2021. 9. 30. 선고 2021다239745 판결 ).  원심판결 이유에 의하면, 원고가 피고에게 장기간 수회에 걸쳐 사업자금 명목으로 금전을 대여하였고, 피고가  차용금채무의 일부를 계속적으로 변제하
22	4	【이유】	대법원 2026. 2. 26. 선고 2025다215255 판결
23	4	【이유】	4
24	4	【이유】	한도로 제한되고, 나머지 부분은 원고가 불복한 바가 없어 항소심의 심판대상이 되지 아니하므로, 그 부분에  대해서는 항소심판결의 선고와 동시에 확정되어 소송이 종료된다 ( 대법원 2001. 4. 27. 선고 99다30312 판 결 , 대법원 2004. 6. 10. 선고 2004다2151, 2168 판결 등 참조).  제1심판결 중 원심의 심판대상이 되지 않
25	4	【이유】	대법관 권영준(재판장) 천대엽(주심) 오경미 엄상필
