chunk_idx	page	section	text_excerpt
0		대전광역시시설관리공단 직제 규정	대전광역시시설관리공단 직제 규정
1		대전광역시시설관리공단 직제 규정	제정 2001. 1. 1.  규정 제1호
2		대전광역시시설관리공단 직제 규정	개정 2001.  4.  4.  규정 제31호
3		대전광역시시설관리공단 직제 규정	개정 2001.  7. 28.  규정 제34호
4		대전광역시시설관리공단 직제 규정	개정 2002.  4. 15.  규정 제38호
5		대전광역시시설관리공단 직제 규정	개정 2003.  5. 26.  규정 제48호
6		대전광역시시설관리공단 직제 규정	개정 2003. 12. 12.  규정 제57호
7		대전광역시시설관리공단 직제 규정	개정 2004.  1. 16.  규정 제66호
8		대전광역시시설관리공단 직제 규정	개정 2004.  7. 28.  규정 제79호
9		대전광역시시설관리공단 직제 규정	개정 2004. 12. 15.  규정 제86호
10		대전광역시시설관리공단 직제 규정	개정 2006.  3. 10.  규정 제102호
11		대전광역시시설관리공단 직제 규정	개정 2006.  7.  6.  규정 제117호
12		대전광역시시설관리공단 직제 규정	개정 2008.  1. 10.  규정 제146호
13		대전광역시시설관리공단 직제 규정	개정 2009.  7.  1.  규정 제188호
14		대전광역시시설관리공단 직제 규정	개정 2009. 12. 28.  규정 제202호
15		대전광역시시설관리공단 직제 규정	개정 2010. 10. 18.  규정 제217호
16		대전광역시시설관리공단 직제 규정	개정 2010. 10. 27.  규정 제218호
17		대전광역시시설관리공단 직제 규정	개정 2010. 12. 29.  규정 제221호
18		대전광역시시설관리공단 직제 규정	개정 2011. 12. 30.  규정 제233호
19		대전광역시시설관리공단 직제 규정	개정 2012.  4. 17.  규정 제239호
20		대전광역시시설관리공단 직제 규정	전부개정 2012. 12. 27.  규정 제252호
21		대전광역시시설관리공단 직제 규정	개정 2013.  8. 22.  규정 제261호
22		대전광역시시설관리공단 직제 규정	개정 2013. 12. 26.  규정 제262호
23		대전광역시시설관리공단 직제 규정	타)개정 2013. 12. 26.  규정 제267호
24		대전광역시시설관리공단 직제 규정	개정 2014.  6. 23.  규정 제270호
