chunk_idx	page	section	text_excerpt
0		대전광역시시설관리공단	대전광역시시설관리공단  한마음생활체육관 운영 내규
1		대전광역시시설관리공단	제정 2016.  4. 26.  내규 제333호
2		대전광역시시설관리공단	개정 2016.  8. 24.  내규 제351호
3		대전광역시시설관리공단	개정 2019.  6.  7.  내규 제498호
4		대전광역시시설관리공단	개정 2021.  8. 27.  내규 제625호
5		대전광역시시설관리공단	개정 2022. 3. 23. 내규 제663호
6		대전광역시시설관리공단	개정 2022. 4. 14. 내규 제671호
7		대전광역시시설관리공단	개정 2022. 6. 16. 내규 제684호
8		대전광역시시설관리공단	개정 2022. 11. 23. 내규 제709호
9		대전광역시시설관리공단	개정 2024. 4. 30. 내규 제782호
10		제2조(운영시간) 한마음생활체육관 운영시간은 06:00∼22:00로 한다.	제1조(목적) 이 내규는 한마음생활체육관(이하 “체육관”이라 한다)의 운영에 관한 사항과 이용자가 준수해야 할 사항 등을 규정함을 목적으로 한다.  제2조(운영시간) 한마음생활체육관 운영시간은 06:00∼22:00로 한다.  제3조(휴관일) 매주 월요일, 신정, 설·추석연휴, 석가탄신일, 성탄절, 공직선거법 제34조에 따른 임기만료에 의한 선거의 선거일은 
11		제6조(이용료의 반환) 삭제 <개정 2019.6.7. 내규 제498호>	제4조(이용료의 징수) 체육관의 이용료는 별표 1과 같이 정한다. <개정 2019.6.7. 내규 제498호>  제5조(이용료의 경감 및 반환) 체육관 이용료의 경감 및 반환에 관한 사항은 대전광역시 체육시설 관리운영 조례에 따른다. <개정 2019.6.7. 내규 제498호>  제6조(이용료의 반환) 삭제 <개정 2019.6.7. 내규 제498호>
12		제6조(이용료의 반환) 삭제 <개정 2019.6.7. 내규 제498호>	①삭제 <개정 2019.6.7. 내규 제498호>
13		제6조(이용료의 반환) 삭제 <개정 2019.6.7. 내규 제498호>	1. 삭제 <개정 2019.6.7. 내규 제498호>
14		제6조(이용료의 반환) 삭제 <개정 2019.6.7. 내규 제498호>	2. 삭제 <개정 2019.6.7. 내규 제498호>
15		제6조(이용료의 반환) 삭제 <개정 2019.6.7. 내규 제498호>	②삭제 <개정 2019.6.7..내규 제498호>
16		제6조(이용료의 반환) 삭제 <개정 2019.6.7. 내규 제498호>	1. 삭제 <개정 2019.6.7. 내규 제498호>
17		제6조(이용료의 반환) 삭제 <개정 2019.6.7. 내규 제498호>	2. 삭제 <개정 2019.6.7. 내규 제498호>
18		제8조(이용자 준수사항) ①이용자는 체육관 시설이용 시 준수사항(별표 3)을 숙지하여 성실한 이용자로서의 의무를 다하여야 한다.	제7조(이용방법) 체육관 이용자는 별표 2를 준수하여야 하며, 월회원은 회원카드, 일일입장은 입장권을 제시하여야 한다. <개정 2022.3.23. 내규 제663호>  제8조(이용자 준수사항) ①이용자는 체육관 시설이용 시 준수사항(별표 3)을 숙지하여 성실한 이용자로서의 의무를 다하여야 한다.  ②이용자는 운동에 불필요한 물건을 반입하여서는 아니 되며 운동
